siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
904494960,00019,90449496000019,O,2021-11-01,,,,2022-01-17T03:41:20,true,A,O,,2021-11-01,5710,NOMA,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00019,2022-01-17T03:41:20,,,,48,,RUE,DE LA REPUBLIQUE,38360,SASSENAGE,,,38474,,,,,,,,,,,,,,,,,,,A,LA BOTTEGA DEL BORGO,,,,47.11B,NAFRev2,O
904618329,00018,90461832900018,O,2021-10-25,,,,2022-02-09T15:05:39,true,A,O,,2021-10-25,5710,TF BUSINESS,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00018,2022-02-09T15:05:39,,,,,,PL,DU GENERAL DE GAULLE,38660,LUMBIN,,,38214,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
904672805,00010,90467280500010,O,2021-10-12,,,,2022-01-18T03:50:08,true,A,O,,2021-10-12,5710,FLOVAL BIS DISTRIBUTION,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00010,2022-01-18T03:50:08,,,,,,PL,DE LA PAIX,38270,BEAUREPAIRE,,,38034,,,,,,,,,,,,,,,,,,,A,CASINO SHOP,,,CASINO SHOP,47.11B,NAFRev2,N
904783529,00012,90478352900012,O,2021-12-01,,,,2021-12-07T04:30:39,true,A,O,,2021-12-01,5710,MERCURE,,,,,,,,,,,,,,47.11D,NAFRev2,,N,O,,,00012,2021-12-07T04:30:39,,,,,,RUE,DE LA REPUBLIQUE,38490,LES ABRETS-EN-DAUPHINE,,,38001,,,,,,,,,,,,,,,,,,,A,CARREFOUR MARKET,,,,47.11D,NAFRev2,O
904880739,00019,90488073900019,O,2021-09-23,,,,2021-12-10T03:50:04,true,A,O,,2021-09-23,5499,GALLANT FOOD SERVICES,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00019,2021-12-10T03:50:04,,,,7,,RUE,DE L'EGLISE,38114,VILLARD-RECULAS,,,38550,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
905197182,00017,90519718200017,O,2021-11-08,,,,2022-01-06T03:41:54,true,A,O,,2021-11-08,5710,BRING'SHOP,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00017,2022-01-06T03:41:54,,,,41,,AV,DE GRUGLIASCO,38130,ECHIROLLES,,,38151,,,,,,,,,,,,,,,,,,,A,,,,BRING'SHOP,47.11B,NAFRev2,N
905384350,00013,90538435000013,O,2021-12-20,,,,2021-11-25T04:09:23,true,A,O,,2021-12-20,1000,,,,,,F,CAMARA,SYLLA,AISSATA,,,,AISSATA,,47.11B,NAFRev2,,,N,,,00013,2021-11-25T04:09:23,,,,12,,RUE,DE LA BISCUITERIE,38400,SAINT MARTIN D'HERES,,,38421,,,,,,,,,,,,,,,,,,,A,,,,AICHA MODJO VENTE,47.11B,NAFRev2,N
905404968,00018,90540496800018,O,2021-11-09,,,,2021-11-25T03:51:20,true,A,O,,2021-11-09,5710,MERCATINO DEL GUSTO,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00018,2021-11-25T03:51:20,,,,3,,PL,DE LA REPUBLIQUE,38500,VOIRON,,,38563,,,,,,,,,,,,,,,,,,,A,,,,MERCATINO DEL GUSTO,47.11B,NAFRev2,N
907568869,00016,90756886900016,O,2021-12-01,,,,2021-12-01T03:51:19,true,A,O,,2021-12-01,5499,MIK'S MARKET,2M,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00016,2021-12-01T03:51:19,,,,39,,AV,AMBROISE CROIZAT,38600,FONTAINE,,,38169,,,,,,,,,,,,,,,,,,,A,,,,MIK'S MARKET,47.11B,NAFRev2,N
907616668,00014,90761666800014,O,2021-12-01,,,,2021-12-31T17:13:35,true,A,O,,2021-12-01,5499,VIVRE SANS GLUTEN,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00014,2021-12-31T17:13:35,,,CENTRE COMMERCIAL LA FAUCONNIERE,42,,RUE,DE LA FAUCONNIERE,38170,SEYSSINET-PARISET,,,38485,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
907672612,00013,90767261200013,O,2021-12-01,,,,2021-12-24T11:44:40,true,A,O,,2021-12-01,1000,,,,,,M,GIRAUD,,FABIEN EMILE JOSEPH,,,,FABIEN EMILE JOSEPH,,47.11C,NAFRev2,,,O,,,00013,2021-12-24T11:44:40,,,,44,,AV,ALSACE LORRAINE,38000,GRENOBLE,,,38185,,,,,,,,,,,,,,,,,,,A,CASINO SHOP,,,,47.11C,NAFRev2,O
908043342,00017,90804334200017,O,2021-12-07,,,,2021-12-16T07:38:23,true,A,O,,2021-12-07,5710,LANSDISTRI,,,,,,,,,,,,,,47.11C,NAFRev2,,N,N,,,00017,2021-12-16T07:38:23,,,,730,,,AVENUE LEOPOLD FAVRE,38250,LANS-EN-VERCORS,,,38205,,,,,,,,,,,,,,,,,,,A,SPAR,,,SPAR,47.11C,NAFRev2,N
